Date,fdate,GProfG_AR_1,GProfG_AR_2,GProfG_AR_3,GProfG_AR_4,GProfG_AR_5,GProfG_TR_1,GProfG_TR_2,GProfG_TR_3,GProfG_TR_4,GProfG_TR_5,GProfG_AR_Sig,GProfG_TR_Sig,GProfG_AR_130,GProfG_TR_130,GProfG_TR_BP,GProfG_TR_LO,GProfG_CAR_1,GProfG_CAR_2,GProfG_CAR_3,GProfG_CAR_4,GProfG_CAR_5,GProfG_CTR_1,GProfG_CTR_2,GProfG_CTR_3,GProfG_CTR_4,GProfG_CTR_5,GProfG_CAR_LS,GProfG_CTR_LS,GProfG_CAR_SW,GProfG_CTR_SW,GProfG_CTR_BP,GProfG_CTR_LO,GProfG_CXR_LO,GProfG_CTR_13,GProfG_CADD,GProfG_CTDD
2019/07/31,2019/06/30,0.04%,1.24%,1.51%,-0.63%,-0.65%,1.18%,1.95%,3.04%,1.00%,0.40%,0.28%,0.93%,-0.81%,-1.75%,1.45%,-2.03%,62,124,115,129,76,184,416,359,437,268,19.76%,33.05%,273.5%,321.9%,247.2%,521.0%,109.3%,860.0%,0.00%,-3.44%
2019/08/31,2019/07/31,0.66%,1.31%,-0.75%,-0.52%,0.16%,-2.54%,-1.71%,-2.66%,-1.53%,-2.42%,1.12%,1.88%,1.19%,-4.38%,-2.11%,-4.95%,62,126,114,128,76,179,409,350,431,262,19.17%,33.21%,277.6%,329.9%,239.9%,490.3%,103.4%,818.0%,0.00%,-1.62%
2019/09/30,2019/08/31,0.02%,-0.18%,-0.15%,1.57%,1.30%,1.11%,1.40%,1.51%,2.38%,1.57%,0.61%,-1.70%,0.63%,0.24%,1.76%,0.75%,62,126,114,130,77,181,415,355,441,266,20.69%,33.81%,280.0%,322.6%,245.8%,494.7%,101.3%,820.2%,0.00%,-3.29%
2019/10/31,2019/09/30,-1.35%,-0.30%,0.54%,0.24%,-0.45%,1.09%,1.73%,2.68%,2.77%,1.59%,-0.13%,-1.13%,-4.13%,-1.27%,2.20%,-0.93%,61,126,114,130,77,183,422,364,453,270,21.78%,34.47%,279.5%,317.8%,253.4%,489.2%,95.00%,808.4%,-0.13%,-4.39%
2019/11/30,2019/10/31,0.81%,-0.29%,0.12%,-0.94%,-0.07%,5.36%,3.28%,4.11%,3.33%,3.54%,-1.70%,-0.38%,-4.30%,4.02%,3.75%,4.13%,62,125,115,129,77,193,436,379,468,280,20.71%,32.03%,273.0%,316.2%,266.7%,513.5%,95.75%,845.0%,-1.83%,-4.76%
2019/12/31,2019/11/30,-0.81%,-0.53%,-0.10%,0.71%,-0.07%,2.14%,2.44%,3.00%,3.35%,2.22%,-0.73%,-1.02%,0.56%,5.37%,2.79%,5.67%,61,124,114,130,77,197,447,391,484,286,21.61%,32.14%,270.3%,311.9%,276.9%,548.3%,101.4%,895.7%,-2.55%,-5.73%
2020/01/31,2019/12/31,0.38%,-0.53%,-0.88%,0.17%,-1.59%,0.66%,-1.25%,-1.17%,1.73%,-1.62%,1.42%,4.12%,3.92%,3.15%,0.06%,1.92%,61,124,113,130,76,199,441,386,492,281,19.21%,29.12%,275.5%,328.9%,277.2%,560.8%,105.1%,927.1%,-1.17%,-1.85%
2020/02/29,2020/01/31,-0.90%,0.17%,0.35%,0.09%,-1.52%,-8.29%,-8.32%,-7.22%,-8.08%,-7.94%,1.71%,2.66%,0.34%,-5.22%,-8.00%,-6.02%,61,124,114,130,75,182,404,358,452,259,18.47%,29.57%,281.9%,340.3%,247.0%,521.0%,109.2%,873.5%,0.00%,0.00%
2020/03/31,2020/02/29,-4.05%,-3.33%,-1.51%,-0.55%,0.64%,-16.40%,-14.75%,-14.87%,-11.96%,-11.35%,-0.61%,5.58%,-5.67%,-17.37%,-13.57%,-19.05%,58,120,112,130,75,152,345,305,398,230,24.03%,36.12%,279.6%,364.9%,199.9%,402.7%,97.75%,704.3%,-0.61%,0.00%
2020/04/30,2020/03/31,-0.70%,0.67%,-1.50%,1.41%,-0.32%,13.12%,12.05%,12.19%,15.19%,13.03%,0.31%,-0.44%,1.25%,20.50%,13.44%,20.63%,58,121,110,131,75,172,386,342,459,259,24.51%,36.00%,280.8%,362.8%,240.2%,506.4%,112.0%,869.2%,-0.31%,-0.44%
2020/05/31,2020/04/30,0.45%,0.73%,0.57%,-1.94%,-2.09%,7.05%,5.28%,6.33%,5.27%,3.67%,0.93%,0.21%,-0.50%,9.15%,5.40%,9.09%,58,122,111,129,73,184,407,364,483,269,21.34%,31.40%,284.3%,363.8%,258.6%,561.5%,119.8%,957.9%,0.00%,-0.23%
2020/06/30,2020/05/31,-0.57%,-2.44%,-2.53%,3.31%,-1.15%,1.63%,0.10%,-0.03%,6.04%,1.82%,0.82%,2.24%,4.47%,12.34%,2.43%,11.67%,58,119,108,133,72,187,407,364,512,274,20.63%,31.65%,287.5%,374.2%,267.3%,638.7%,140.1%,1088%,0.00%,0.00%
2020/07/31,2020/06/30,-1.43%,-0.44%,-0.23%,-1.59%,0.61%,4.46%,6.23%,5.06%,6.21%,5.64%,3.29%,2.41%,4.26%,6.33%,5.73%,5.61%,57,118,108,131,73,196,432,382,544,289,23.10%,33.20%,300.2%,385.6%,288.3%,680.1%,139.8%,1164%,0.00%,0.00%
2020/08/31,2020/07/31,-1.60%,0.05%,-2.74%,0.15%,-0.98%,4.77%,8.61%,4.55%,9.24%,6.57%,0.01%,1.51%,-5.35%,4.25%,7.38%,3.80%,56,118,105,131,72,205,470,400,594,308,23.85%,35.61%,300.3%,393.0%,317.0%,709.8%,131.2%,1217%,0.00%,0.00%
2020/09/30,2020/08/31,1.02%,0.54%,1.98%,-2.31%,-0.53%,-3.22%,-2.96%,-1.00%,-5.15%,-3.99%,2.26%,3.98%,2.40%,-0.50%,-3.61%,-1.69%,57,119,107,128,72,198,456,396,564,296,21.93%,34.57%,309.3%,412.6%,301.9%,696.1%,135.7%,1211%,0.00%,0.00%
2020/10/31,2020/09/30,-0.65%,0.04%,1.61%,-0.12%,0.65%,0.16%,-1.71%,-1.89%,-3.41%,-1.79%,2.06%,0.88%,-1.82%,0.66%,-2.11%,0.39%,56,119,109,128,72,199,448,388,544,291,23.52%,31.95%,317.8%,417.1%,293.4%,699.2%,141.6%,1220%,0.00%,0.00%
2020/11/30,2020/10/31,6.96%,2.37%,-2.97%,-1.36%,0.39%,21.17%,14.60%,9.50%,9.41%,13.78%,-5.99%,-5.88%,-2.57%,19.67%,12.26%,21.44%,60,122,106,126,73,241,513,425,596,331,15.40%,22.20%,292.7%,386.7%,341.6%,870.6%,163.7%,1479%,-5.99%,-5.88%
2020/12/31,2020/11/30,0.76%,-1.40%,-0.42%,-0.01%,-2.44%,6.64%,3.64%,4.65%,4.58%,3.88%,0.38%,-0.95%,-0.00%,10.79%,4.57%,11.07%,61,120,105,126,71,257,532,445,623,344,11.70%,18.83%,294.2%,382.1%,361.8%,978.0%,180.9%,1649%,-5.64%,-6.77%
2021/01/31,2020/12/31,-4.65%,-0.26%,-1.18%,1.12%,-0.66%,-1.65%,-0.86%,-0.36%,0.53%,1.21%,0.14%,-4.69%,8.07%,14.67%,-0.12%,16.08%,58,120,104,128,70,253,528,443,626,348,16.16%,22.23%,294.8%,359.5%,361.3%,1151%,226.4%,1906%,-5.50%,-11.15%
